moeCode,schoolName,website,schoolAddress,sourceTitle,sourceUrl,sourceDate,confidence,notes
4111010037,北京物资学院,https://www.bwu.edu.cn/,北京市通州区富河大街321号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010038,首都经济贸易大学,https://www.cueb.edu.cn/,"校本部：北京市丰台区花乡张家路口121号,红庙校区：北京市朝阳门外金台里2号",DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010039,中国消防救援学院,https://www.cfri.edu.cn,北京市昌平区南雁路4号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010040,外交学院,https://www.cfau.edu.cn/,"展览馆路校区：北京市西城区展览馆路24号,沙河校区：北京市昌平区沙河高教园区",DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010041,中国人民公安大学,https://www.ppsuc.edu.cn/,"木樨地校区：北京市西城区木樨地南里1号,团河校区：北京市大兴区团河路",DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010042,国际关系学院,http://www.uir.edu.cn,北京市海淀区坡上村12号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010043,北京体育大学,https://www.bsu.edu.cn/,北京市海淀区信息路48号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010045,中央音乐学院,http://www.ccom.edu.cn/,北京市西城区鲍家街43号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010046,中国音乐学院,http://www.ccmusic.edu.cn/,北京市朝阳区安翔路1号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010047,中央美术学院,http://www.cafa.edu.cn,北京市朝阳区花家地南街8号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010048,中央戏剧学院,http://www.chntheatre.edu.cn,"东城校区：北京市东城区东棉花胡同39号,昌平校区：北京市昌平区宏福中路4号",DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010049,中国戏曲学院,http://www.nacta.edu.cn/,北京市丰台区万泉寺400号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010050,北京电影学院,http://www.bfa.edu.cn,北京市海淀区西土城路4号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010051,北京舞蹈学院,http://www.bda.edu.cn,北京市海淀区万寿寺路一号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010052,中央民族大学,https://www.muc.edu.cn/,北京市海淀区中关村南大街27号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010053,中国政法大学,http://www.cupl.edu.cn/,"昌平校区：北京市昌平区府学路27号,海淀校区：北京市海淀区西土城路25号",DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010054,华北电力大学,http://www.ncepu.edu.cn,北京市昌平区回龙观北农路2号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111011149,中华女子学院,http://www.cwu.edu.cn/,北京市朝阳区育慧东路1号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
