moeCode,schoolName,campusName,campusAddress,province,city,district,lat,lng,undergraduateScope,freshmanOnly,mainCampusType,nearestMetroStation,metroDistanceKm,sourceTitle,sourceUrl,sourceDate,confidence,notes
4122011437,长春工程学院,湖东校区,吉林省长春市朝阳区同志街3066号,吉林,长春,长春市朝阳区,,,unknown,unknown,,,,DaoSword China-Education-Data,https://github.com/DaoSword/China-Education-Data,2026-04-21,low,此校区由 DaoSword 宽表中的标注校址补入；未在 geocoder 主结果中出现，建议后续以学校校区介绍页复核。
4122011437,长春工程学院,湖西校区,吉林省长春市朝阳区宽平大路395号,吉林,长春,长春市朝阳区,,,unknown,unknown,,,,DaoSword China-Education-Data,https://github.com/DaoSword/China-Education-Data,2026-04-21,low,此校区由 DaoSword 宽表中的标注校址补入；未在 geocoder 主结果中出现，建议后续以学校校区介绍页复核。
4122011437,长春工程学院,主校区,吉林省长春市朝阳区宽平大路395号,吉林,长春,朝阳区,43.84939,125.273704,unknown,unknown,,,,Naptie cn-university-geocoder + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,百度 POI 精确匹配，坐标偏差约 1.70 km。
4122011439,吉林农业科技学院,九站校区,吉林省吉林市吉林经济技术开发区翰林路77号,吉林,吉林,吉林经济技术开发区,43.953522,126.480535,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,校区地址与 DaoSword 宽表中的标注校区名一致。
4122011439,吉林农业科技学院,左家校区,吉林省吉林市昌邑区左家自然保护区学府路1号,吉林,吉林,昌邑区,44.022987,126.149295,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,校区地址与 DaoSword 宽表中的标注校区名一致。 百度 POI 近似匹配，坐标偏差约 4.67 km。
4122011440,长春金融高等专科学校,主校区,吉林省长春市二道区雾开河大街1666号,吉林,长春,长春市二道区,43.836109,125.321351,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122011441,吉林警察学院,主校区,吉林省长春市净月高新技术产业开发区博硕路1399号,吉林,长春,高新技术产业开发区,43.823887,125.407632,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122011726,长春大学,主校区,吉林省长春市卫星路6543号,吉林,长春,,43.828411,125.293219,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122011823,长春医学高等专科学校,主校区,吉林省长春市经济技术开发区吉林大路6177号,吉林,长春,二道区,43.882957,125.423503,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.41 km。
4122012049,吉林交通职业技术学院,主校区,吉林省长春市高新区新电台街63号,吉林,长春,长春市高新区,43.873724,125.361634,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
