schoolName,disciplinesRaw,doubleFirstClassRound,sourceTitle,sourceUrl,sourceDate,notes
天津工业大学,纺织科学与工程,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
天津医科大学,临床医学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
天津中医药大学,中药学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
华北电力大学,电气工程,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
河北工业大学,电气工程,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
山西大学,哲学、物理学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
太原理工大学,化学工程与技术,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
内蒙古大学,生物学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
辽宁大学,应用经济学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
大连理工大学,力学、机械工程、化学工程与技术,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
