schoolName,sourceTitle,sourceUrl,sourceDate,notes
东华大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
华东师范大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
上海外国语大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
上海财经大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
上海大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
第二军医大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
南京大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
苏州大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
东南大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
南京航空航天大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
南京理工大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
中国矿业大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
河海大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
江南大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
南京农业大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
中国药科大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
南京师范大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
浙江大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
安徽大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
中国科学技术大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
合肥工业大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
厦门大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
福州大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
南昌大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
